"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"COPYRIGHT";"CREATED_BY";"CTR-MAX";"CTR-MIN";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"IF";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART-NUMBER";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_SKU";"SPICEPREFIX";"TC-CTR";"TP_SIGNAL_NAME";"VALUE";"VCE";"VISO";
"1";"";"AB-RTCMC-32.768KHZ-B5ZE-S3-T";"AB-RTCMC-32.768KHZ-B5ZE-S3-T";"RTCC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23";"";"LEDSML0805";"SML0805";"LED1, LED2, LED3, LED4, LED5, LED7, LED8, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17";"";"";"";"";"";"";"";"";"";"";
"3";"";"SCHOTTKY-DIODEAG";"AG";"D9, D10, D11";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"0R";"R-EU_R0603";"R0603";"R34, R40, R45";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"R";"";"";"";"";"";
"3";"1.5k";"R-EU_R0603";"R0603";"R32, R38, R43";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"R";"";"";"";"";"";
"6";"100R";"R-EU_R0603";"R0603";"R28, R29, R30, R31, R61, R121";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"R";"";"";"";"";"";
"5";"100R";"R-EU_R0805";"R0805";"R1, R11, R24, R25, R48";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"R";"";"";"";"";"";
"5";"100n";"C-EUC0603";"C0603";"C38, C39, C41, C54, C60";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";"";"";
"7";"100n";"C-EUC0603";"C0603";"C10, C18, C21, C22, C23, C67, C82";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100n";"C-EUC1206";"C1206";"C79";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"54";"";"";"";"";"C";"";"";"";"";"";
"18";"100nF";"C-EUC0603";"C0603";"C6, C8, C9, C11, C12, C14, C15, C35, C36, C42, C45, C47, C52, C53, C55, C58, C59, C61";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";"";"";
"2";"10R";"R-EU_R0805";"R0805";"R57, R66";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"R";"";"";"";"";"";
"13";"10k";"R-EU_R0603";"R0603";"R33, R39, R44, R49, R90, R111, R112, R113, R114, R115, R116, R117, R118";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"R";"";"";"";"";"";
"4";"10k";"R-EU_R0603";"R0603";"R98, R99, R103, R104";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"10k";"R-EU_R0805";"R0805";"R8, R10, R12, R47, R79, R107, R108, R109, R110";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"R";"";"";"";"";"";
"8";"10n";"C-EUC0603";"C0603";"C1, C4, C73, C74, C75, C76, C77, C78";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";"";"";
